# Tek yön servisler. Kaynak: servis panosu fotoğrafı.
# gun    : haftaici | haftasonu
# kalkis : ilk durak,  saat: o duraktan kalkış (HH:MM),  varislar: sonraki duraklar, "-" ile
# binis  : ilk  -> sadece kalkış durağından binilir, diğerleri iniş (varış saati verilmez)
#          hepsi-> her duraktan binilir, son durakta inilir; ara saatler ring sürelerinden hesaplanır
gun,kalkis,saat,varislar,not,binis
haftaici,G1,06:10,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,06:35,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,06:45,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,06:55,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:05,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:15,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:35,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:40,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:45,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:50,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:55,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,07:57,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,08:07,10-20-40-220-320-710-950-960-1050-961-750-557-202-850,,
haftaici,G1,08:00,420-850-202-557-750-760-910,otoban,
haftaici,G1,08:20,420-850-202-557-750-760-910,otoban,
haftaici,G1,08:40,420-850-202-557-750-760-910,otoban,
haftaici,G1,09:00,420-850-202-557-750-760-910,otoban,
haftaici,G1,09:20,420-850-202-557-750-760-910,otoban,
haftaici,G1,09:40,420-850-202-557-750-760-910,otoban,
haftaici,G1,10:00,420-850-202-557-750-760-910,otoban,
haftaici,G9,06:30,1030-1050-960-950-850-202-557-750-760,,
haftaici,G9,06:45,1030-1050-960-950-850-202-557-750-760,,
haftaici,G9,06:38,1030-1050-950-960,,
haftaici,G9,06:52,1030-1050-950-960,,
haftaici,G9,07:15,1030-1050-950-960,,
haftaici,G9,07:30,1030-1050-950-960,,
haftaici,G9,07:35,1030-1050-950-960,,
haftaici,G9,07:40,1030-1050-950-960,,
haftaici,G9,07:45,1030-1050-950-960,,
haftaici,G9,07:50,1030-1050-950-960,,
haftaici,G9,07:55,1030-1050-950-960,,
haftaici,G9,06:38,750-557-202-850-910,,
haftaici,G9,06:52,750-557-202-850-910,,
haftaici,G9,07:15,750-557-202-850-910,,
haftaici,G9,07:30,750-557-202-850-910,,
haftaici,G9,07:35,750-557-202-850-910,,
haftaici,G9,07:40,750-557-202-850-910,,
haftaici,G9,07:45,750-557-202-850-910,,
haftaici,G9,07:50,750-557-202-850-910,,
haftaici,G9,07:55,750-557-202-850-910,,
haftaici,G9,08:00,750-557-202-850,,
haftaici,G9,08:20,750-557-202-850,,
haftaici,G9,08:40,750-557-202-850,,
haftaici,G9,09:00,750-557-202-850,,
haftaici,G9,09:20,750-557-202-850,,
haftaici,G9,09:40,750-557-202-850,,
haftaici,G9,10:00,750-557-202-850,,
haftaici,G4,07:50,850-202-557-750,,
haftaici,G4,08:00,850-202-557-750,,
haftaici,G4,08:15,850-202-557-750,,
haftaici,G4,08:30,850-202-557-750,,
haftaici,G4,08:45,850-202-557-750,,
haftaici,G4,09:00,850-202-557-750,,
haftaici,G4,09:15,850-202-557-750,,
haftaici,G4,09:30,850-202-557-750,,
haftaici,G4,09:45,850-202-557-750,,
haftaici,G4,10:00,850-202-557-750,,
haftaici,160,07:30,850-202-557-750-760,,
haftaici,160,07:35,850-202-557-750-760,,
haftaici,160,07:38,850-202-557-750-760,,
haftaici,160,07:43,850-202-557-750-760,,
haftaici,160,07:50,850-202-557-750-760,,
haftaici,160,07:53,850-202-557-750-760,,
haftaici,160,06:30,1030,,
haftaici,160,06:40,1030,,
haftaici,160,06:50,1030,,
haftaici,160,07:40,1030,,
haftaici,160,07:50,1030,,
haftaici,750,18:12,910-557-202-850-G4,,
haftaici,750,18:30,910-557-202-850-G4,,
haftaici,1050,18:10,G9,,
haftaici,1050,18:45,G9,,
haftaici,1050,18:15,G1,,
haftaici,750,19:03,557-202-G1,fazla mesai,hepsi
haftaici,750,19:03,557-202-850-G1,fazla mesai,hepsi
haftaici,280,19:03,610-510-G1,fazla mesai,hepsi
haftaici,1030,19:03,1050-960-950-810-G1,fazla mesai,hepsi
haftaici,1050,19:03,960-950-810-G1,fazla mesai,hepsi
haftaici,961,19:03,910-850-200-G1,fazla mesai,hepsi
haftaici,710,19:03,320-220-40-20-G1,fazla mesai,hepsi
